GEOUID,PROV,EMP15
12070102,12,310
12070103,12,200
12070104,12,140
12070105,12,335
12070106,12,140
12070107,12,140
12070108,12,290
12070109,12,180
12070110,12,280
12070111,12,285
12070112,12,310
12070113,12,270
12070114,12,190
12070115,12,195
12070116,12,245
12070117,12,225
12070118,12,215
12070119,12,265
12070120,12,270
12070121,12,175
12070122,12,185
12070123,12,230
12070124,12,120
12070125,12,185
12070126,12,260
12070127,12,285
12070128,12,290
12070129,12,230
12070130,12,285
12070131,12,300
12070132,12,40
12070133,12,225
12070134,12,200
12070135,12,170
12070136,12,230
12070137,12,150
12070138,12,110
12070139,12,250
12070140,12,210
12070141,12,215
12070142,12,245
12070143,12,295
12070144,12,255
12070145,12,315
12070146,12,240
12070147,12,330
12070148,12,255
12070149,12,215
12070150,12,200
12070151,12,315
12070152,12,240
12070153,12,245
12070154,12,170
12070155,12,295
12070156,12,290
12070157,12,245
12070158,12,170
12070159,12,220
12070160,12,260
12070161,12,260
12070162,12,240
12070163,12,255
12070164,12,270
12070165,12,280
12070166,12,135
12070167,12,250
12070168,12,255
12070169,12,20
12070171,12,240
12070172,12,240
12070173,12,180
12070174,12,165
12070175,12,250
12070176,12,165
12070177,12,335
12070178,12,315
12070179,12,180
12070180,12,330
12070181,12,130
12070182,12,80
12070183,12,150
12070184,12,270
12070185,12,390
12070186,12,355
12070187,12,260
12070188,12,325
12070189,12,125
12070190,12,330
12070191,12,225
12070192,12,310
12070193,12,300
12070194,12,240
12070195,12,280
1208,12,20195
12080056,12,395
12080057,12,265
12080058,12,135
12080059,12,180
12080060,12,180
12080062,12,635
12080063,12,240
12080064,12,290
12080065,12,335
12080066,12,395
12080067,12,270
12080068,12,555
